,querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count,index
0,Iphone 13,Amazon,Apple iPhone 13 (128GB) - Midnight  ,61999.0,4.6,12982.0,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NDk3ODQ3OTI0MjE0NjM6MTY3NDgxMzE5NzpzcF9hdGY6MjAwNzQyMzUxMTc5MDM6OjA6Og&url=%2FApple-iPhone-13-128GB-Midnight%2Fdp%2FB09G9HD6PD%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DIphone%2B13%26qid%3D1674813197%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,,0
1,Iphone 13,Amazon,Apple iPhone 13 Mini (128GB) - Starlight  ,64900.0,4.6,1650.0,https://m.media-amazon.com/images/I/61cpernSJuL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5NDk3ODQ3OTI0MjE0NjM6MTY3NDgxMzE5NzpzcF9hdGY6MjAwNzQyMzUxMTM0MDM6OjA6Og&url=%2FApple-iPhone-Mini-128GB-Starlight%2Fdp%2FB09G91Q79X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DIphone%2B13%26qid%3D1674813197%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,,1
2,Iphone 13,Amazon,Apple iPhone 13 (128GB) - Midnight  ,61999.0,4.6,12982.0,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-128GB-Midnight/dp/B09G9HD6PD/ref=sr_1_3?keywords=Iphone+13&qid=1674813197&sr=8-3,,2
3,Iphone 13,Amazon,Apple iPhone 13 (128GB) - Blue  ,61999.0,4.6,12982.0,https://m.media-amazon.com/images/I/71xb2xkN5qL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_4?keywords=Iphone+13&qid=1674813197&sr=8-4,,3
4,Iphone 13,Amazon,Apple iPhone 13 (128GB) - Green  ,61999.0,4.6,12982.0,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?keywords=Iphone+13&qid=1674813197&sr=8-5,,4
5,Iphone 13,Amazon,Apple iPhone 13 (256GB) - Midnight  ,74900.0,4.6,12982.0,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-256GB-Midnight/dp/B09G9BQS98/ref=sr_1_6?keywords=Iphone+13&qid=1674813197&sr=8-6,,5
6,Iphone 13,Amazon,Apple iPhone 13 (256GB) - Starlight  ,71999.0,4.6,12982.0,https://m.media-amazon.com/images/I/71GLMJ7TQiL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-256GB-Starlight/dp/B09G9BFKZN/ref=sr_1_7?keywords=Iphone+13&qid=1674813197&sr=8-7,,6
7,Iphone 13,Amazon,Apple iPhone 13 (256GB) - (Product) RED  ,73990.0,4.6,12982.0,https://m.media-amazon.com/images/I/71gm8v4uPBL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-256GB-Product/dp/B09G9HDN4Q/ref=sr_1_8?keywords=Iphone+13&qid=1674813197&sr=8-8,,7
8,Iphone 13,Amazon,Apple iPhone 13 (512GB) - Pink  ,91999.0,4.6,12982.0,https://m.media-amazon.com/images/I/61l9ppRIiqL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-13-512GB-Pink/dp/B09G97M122/ref=sr_1_9?keywords=Iphone+13&qid=1674813197&sr=8-9,,8
9,Iphone 13,Amazon,Apple iPhone 13 Mini (128GB) - Starlight  ,64900.0,4.6,1650.0,https://m.media-amazon.com/images/I/61cpernSJuL._AC_UY218_.jpg,https://www.amazon.in/Apple-iPhone-Mini-128GB-Starlight/dp/B09G91Q79X/ref=sr_1_10?keywords=Iphone+13&qid=1674813197&sr=8-10,,9
